cci_ID;Source;Dataset;Name;Latitude;Longitude;Year;double.check.number;check.type;Depth;Type;MeasurementsPerDay;X0;X20;X25;X40;X50;X60;X75;X80;X100;X120;X160;X200;X240;X250;X300;X320;X400;X500;X1000;X1500;X2000;M0;M20;M25;M40;M50;M60;M75;M80;M100;M120;M160;M200;M240;M250;M300;M320;M400;M500;M1000;M1500;V53;V54;V55;V56;V57;V58;V59;V60;V61;V62;V63;V64;V65;V66;V67;V68;V69;V70;V71;V72;V73;;;;;;;
2;RHM;20087.txt;Golomyanny;79.55;90.61666667;1989;NA;1;120;NA;1;NA;-13.52523937;NA;-13.30170123;NA;NA;NA;-13.29904698;NA;-13.27911546;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RHM;79.55;90.61666667;20087;120;NA;1
2;RHM;20087.txt;Golomyanny;79.55;90.61666667;1990;NA;1;120;NA;1;NA;-14.7093062;NA;-14.51966846;NA;NA;NA;-14.18532834;NA;-13.95325781;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0.013666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RHM;79.55;90.61666667;20087;120;NA;1
2;RHM;20087.txt;Golomyanny;79.55;90.61666667;1991;NA;1;120;NA;1;NA;-14.89834933;NA;-14.8150288;NA;NA;NA;-14.64852598;NA;-14.69240335;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RHM;79.55;90.61666667;20087;120;NA;1
2;RHM;20087.txt;Golomyanny;79.55;90.61666667;1992;NA;1;120;NA;1;NA;-15.31756173;NA;-15.09945088;NA;NA;NA;-14.68833632;NA;-14.50448427;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.01675;NA;0.016833333;NA;NA;NA;0.00575;NA;0.014083333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RHM;79.55;90.61666667;20087;120;NA;1
2;RHM;20087.txt;Golomyanny;79.55;90.61666667;1993;NA;1;120;NA;1;NA;-14.54007488;NA;-14.57076549;NA;NA;NA;-14.17332245;NA;-14.34363671;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0.002666667;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RHM;79.55;90.61666667;20087;120;NA;1
2;RHM;20087.txt;Golomyanny;79.55;90.61666667;1994;NA;1;120;NA;1;NA;NA;NA;NA;NA;NA;NA;-12.75676139;NA;-12.66559744;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.30375;NA;0.30375;NA;NA;NA;0;NA;0.005416667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RHM;79.55;90.61666667;20087;120;NA;1
2;RHM;20087.txt;Golomyanny;79.55;90.61666667;1995;NA;1;120;NA;1;NA;-10.72706669;NA;-10.66577189;NA;NA;NA;-10.69836086;NA;-10.50620904;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RHM;79.55;90.61666667;20087;120;NA;1
2;RHM;20087.txt;Golomyanny;79.55;90.61666667;1996;NA;1;120;NA;1;NA;NA;NA;NA;NA;NA;NA;-13.1417732;NA;-12.681818;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.25575;NA;0.25575;NA;NA;NA;0.00575;NA;0.00575;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RHM;79.55;90.61666667;20087;120;NA;1
2;RHM;20087.txt;Golomyanny;79.55;90.61666667;1997;NA;1;120;NA;1;NA;-11.88517217;NA;-11.7340265;NA;NA;NA;-11.55159498;NA;-10.92762481;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;0;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RHM;79.55;90.61666667;20087;120;NA;1
2;RHM;20087.txt;Golomyanny;79.55;90.61666667;1998;NA;1;120;NA;1;NA;NA;NA;NA;NA;NA;NA;-13.29130888;NA;-12.5128181;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.611083333;NA;0.611083333;NA;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;8;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;RHM;79.55;90.61666667;20087;120;NA;1
